gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Stichtse Vecht,GM1904,1904,Stichtse Vecht,Gemeente,GM1904,64061,31275,48.8,32786,51.2,11147,17.4,6827,10.7,14484,22.6,19713,30.8,11890,18.6,28907,45.1,27063,42.2,4885,7.6,3206,5,5780,9,5277,8.2,1031,1.6,344,0.5,1144,1.8,380,0.6,2378,3.7,27526,8567,31.1,8418,30.6,10541,38.3,2.3,666,27561,267,76,24,90,10,6185,225,905,1140,520,665,2040,690,31245,10280,20960,26060,5185,1.1,325,3000,2325,10682,9625,1057,3,1166
Menameradiel,GM1908,1908,Menameradiel,Gemeente,GM1908,13543,6938,51.2,6605,48.8,2386,17.6,1515,11.2,2816,20.8,4172,30.8,2654,19.6,5955,44,6109,45.1,799,5.9,680,5,520,3.8,230,1.7,6,0,9,0.1,28,0.2,11,0.1,176,1.3,5705,1653,29,1941,34,2111,37,2.4,197,5851,165,94,6,94,6,1055,140,215,190,85,55,220,145,7040,1750,5290,5290,1750,1.2,102,1120,845,7003,6884,120,5,264
Hollands Kroon,GM1911,1911,Hollands Kroon,Gemeente,GM1911,47546,24052,50.6,23494,49.4,8019,16.9,5481,11.5,10443,22,14438,30.4,9165,19.3,20468,43,21625,45.5,3105,6.5,2348,4.9,3102,6.5,1328,2.8,47,0.1,151,0.3,122,0.3,49,0.1,959,2,20107,5776,28.7,6847,34.1,7484,37.2,2.3,133,20554,198,90,10,87,13,4735,900,1075,905,245,390,740,485,24620,6185,18430,18995,5625,1.2,69,5175,3190,66220,35761,30459,5,426
Leidschendam-Voorburg,GM1916,1916,Leidschendam-Voorburg,Gemeente,GM1916,74223,35605,48,38618,52,12064,16.3,6927,9.3,17976,24.2,20707,27.9,16549,22.3,34310,46.2,28901,38.9,6543,8.8,4469,6,10528,14.2,11208,15.1,1226,1.7,893,1.2,2272,3.1,707,1,6110,8.2,35834,14722,41.1,10136,28.3,10976,30.6,2,2275,36398,232,39,61,93,7,5600,95,675,1020,470,605,1965,770,34940,12505,22435,30025,4915,1,1071,3395,2300,3562,3263,299,1,2839
Goeree-Overflakkee,GM1924,1924,Goeree-Overflakkee,Gemeente,GM1924,48321,23888,49.4,24433,50.6,8216,17,5271,10.9,10864,22.5,14144,29.3,9826,20.3,19015,39.4,23600,48.8,2831,5.9,2875,5.9,1781,3.7,989,2,31,0.1,67,0.1,180,0.4,47,0.1,664,1.4,20195,5941,29.4,7038,34.9,7216,35.7,2.3,184,20915,211,87,13,84,16,4245,460,760,1010,280,510,795,430,24930,8440,16490,20135,4795,1.2,95,4105,2270,42235,26192,16042,4,606
Pijnacker-Nootdorp,GM1926,1926,Pijnacker-Nootdorp,Gemeente,GM1926,51894,25828,49.8,26066,50.2,11061,21.3,6290,12.1,12412,23.9,14839,28.6,7292,14.1,24845,47.9,22196,42.8,3012,5.8,1841,3.5,4316,8.3,5690,11,559,1.1,517,1,1687,3.3,562,1.1,2365,4.6,20002,4884,24.4,5632,28.2,9486,47.4,2.6,1391,20135,264,74,26,59,41,4140,305,645,725,350,415,1260,435,22650,8070,14580,19905,2745,1.1,607,2395,2065,3862,3732,130,3,1436
Molenwaard,GM1927,1927,Molenwaard,Gemeente,GM1927,29067,14761,50.8,14306,49.2,6051,20.8,4224,14.5,6392,22,7587,26.1,4813,16.6,12856,44.2,13741,47.3,1144,3.9,1326,4.6,927,3.2,721,2.5,69,0.2,41,0.1,57,0.2,28,0.1,526,1.8,10634,2616,24.6,3350,31.5,4668,43.9,2.7,246,11021,237,90,10,86,14,2525,315,610,410,220,320,450,195,14140,4435,9705,11535,2605,1.3,120,3530,1245,12648,11828,820,5,446
Nissewaard,GM1930,1930,Nissewaard,Gemeente,GM1930,85293,41835,49,43458,51,13255,15.5,9915,11.6,20628,24.2,26268,30.8,15227,17.9,36938,43.3,36535,42.8,7463,8.7,4357,5.1,7644,9,11563,13.6,499,0.6,2142,2.5,3364,3.9,1072,1.3,4486,5.3,38501,12543,32.6,12067,31.3,13891,36.1,2.2,1025,39083,164,68,32,89,11,4560,120,835,1140,395,425,1000,650,39585,14420,25170,34890,4695,1,476,3195,3430,9873,8323,1550,2,2007
Krimpenerwaard,GM1931,1931,Krimpenerwaard,Gemeente,GM1931,54653,27094,49.6,27559,50.4,9428,17.3,6882,12.6,11821,21.6,15617,28.6,10905,20,23261,42.6,25453,46.6,3056,5.6,2883,5.3,2851,5.2,2713,5,1087,2,151,0.3,168,0.3,55,0.1,1252,2.3,22808,6784,29.7,7656,33.6,8368,36.7,2.4,365,23331,229,79,21,86,14,5150,370,1095,1020,400,655,1090,525,25775,8345,17425,22075,3700,1.1,172,4640,2535,16131,14966,1165,4,773
De Fryske Marren,GM1940,1940,De Fryske Marren,Gemeente,GM1940,51265,25832,50.4,25433,49.6,8860,17.3,5630,11,10894,21.3,15021,29.3,10860,21.2,22468,43.8,22703,44.3,3131,6.1,2963,5.8,2331,4.5,1340,2.6,55,0.1,93,0.2,157,0.3,115,0.2,920,1.8,21771,6538,30,7458,34.3,7775,35.7,2.3,146,22818,193,91,9,87,13,5330,660,1085,1165,355,410,1085,570,26445,7425,19020,18430,8015,1.2,75,4420,2815,54910,35166,19744,4,541
Gooise Meren,GM1942,1942,Gooise Meren,Gemeente,GM1942,56696,27278,48.1,29418,51.9,10928,19.3,5621,9.9,11812,20.8,16511,29.1,11824,20.9,26753,47.2,21918,38.7,4717,8.3,3308,5.8,6846,12.1,4519,8,1153,2,296,0.5,380,0.7,338,0.6,2352,4.1,25338,9699,38.3,6757,26.7,8882,35.1,2.2,1363,26133,336,69,31,95,5,7350,40,750,1270,650,1030,2805,805,26980,8295,18690,22600,4385,1.1,649,1880,1830,7522,4160,3361,2,1891
Berg en Dal,GM1945,1945,Berg en Dal,Gemeente,GM1945,34574,17190,49.7,17384,50.3,4915,14.2,3913,11.3,6759,19.5,11028,31.9,7959,23,14877,43,15043,43.5,2274,6.6,2380,6.9,3605,10.4,1099,3.2,37,0.1,116,0.3,120,0.3,107,0.3,719,2.1,15397,5210,33.8,5056,32.8,5131,33.3,2.2,400,15283,216,81,19,84,16,2515,145,445,515,155,295,610,350,17455,4395,13060,14825,2630,1.1,202,1775,1425,9331,8649,682,4,637
Montferland,GM1955,1955,Montferland,Gemeente,GM1955,35173,17595,50,17578,50,5200,14.8,3976,11.3,7021,20,11261,32,7715,21.9,14395,40.9,16281,46.3,2220,6.3,2277,6.5,2909,8.3,1129,3.2,39,0.1,49,0.1,105,0.3,335,1,601,1.7,15025,4214,28,5275,35.1,5536,36.8,2.3,333,15281,195,82,18,87,13,2835,255,525,660,150,325,555,360,18395,5125,13270,15690,2710,1.2,174,2535,1775,10664,10570,93,4,743
Menterwolde,GM1987,1987,Menterwolde,Gemeente,GM1987,12233,6193,50.6,6040,49.4,1882,15.4,1352,11.1,2599,21.2,4055,33.1,2345,19.2,5143,42,5397,44.1,998,8.2,695,5.7,517,4.2,294,2.4,9,0.1,13,0.1,42,0.3,34,0.3,196,1.6,5347,1522,28.5,1905,35.6,1920,35.9,2.3,152,5408,143,94,6,88,12,825,125,165,190,50,50,135,105,6700,1725,4975,5330,1365,1.3,83,840,795,8162,8025,138,5,357
